Codigo;Descripci�n;"Cod SubRubro";SubRubro;"Cod Rubro";Rubro;"Cod Marca";Marca;"Cod Provedor";Proveedor;Temporada;"Fecha Alta";"Fecha Modificado";"Precio Costo";"Precio Venta";"Utilidad 1";"Utilidad 2";Cantidad;"Stock Min";Vencimiento;Reponer;imagenes
"Cod: 1041";"LLAVERO CON PIEDRAS 28-107-01";28;"ACC MODA-LLAVEROS";7;ACCESORIOS;1;"Sin Especificar";;;0;18-08-2012;05-12-2017;152;234.00;54;54;0;10;;10;https://factupyme.com.ar/inventario/https://factupyme.com.ar/inventario/img/productos/product.png
"Cod: 1716";"LLAVERO CON PIEDRAS 33-56-03B";28;"ACC MODA-LLAVEROS";7;ACCESORIOS;1;"Sin Especificar";;;0;16-07-2013;05-12-2017;252;343.00;36;36;0;10;;10;https://factupyme.com.ar/inventario/https://factupyme.com.ar/inventario/img/productos/product.png
"Cod: 608";"LLAVERO CON PIEDRAS LH-27-100-5/6";28;"ACC MODA-LLAVEROS";7;ACCESORIOS;1;"Sin Especificar";;;0;02-09-2011;05-12-2017;110;174.00;58;58;0;10;;10;https://factupyme.com.ar/inventario/https://factupyme.com.ar/inventario/img/productos/product.png
"Cod: 768";"LLAVERO CON PIEDRAS LH-28-107-1";28;"ACC MODA-LLAVEROS";7;ACCESORIOS;1;"Sin Especificar";;;0;18-02-2012;05-12-2017;110;176.00;60;60;0;10;;10;https://factupyme.com.ar/inventario/img/productos/3/product.png
"Cod: 703";"LLAVERO CON PIEDRAS NS-107-117";28;"ACC MODA-LLAVEROS";7;ACCESORIOS;1;"Sin Especificar";;;0;28-10-2011;05-12-2017;92;146.00;59;59;0;10;;10;https://factupyme.com.ar/inventario/https://factupyme.com.ar/inventario/img/productos/product.png
"Cod: 609";"LLAVERO CON PIEDRAS Y CORAZON LH-27-100-13";28;"ACC MODA-LLAVEROS";7;ACCESORIOS;1;"Sin Especificar";;;0;02-09-2011;05-12-2017;185;292.00;58;58;0;10;;10;https://factupyme.com.ar/inventario/https://factupyme.com.ar/inventario/img/productos/product.png
"Cod: 2505";"LLAVERO CON STRASS 37-74-01";28;"ACC MODA-LLAVEROS";7;ACCESORIOS;1;"Sin Especificar";0;;0;03-02-2015;31-07-2025;185;307.00;66;66;0;10;0000-00-00;10;https://factupyme.com.ar/inventario/https://factupyme.com.ar/inventario/img/productos/product.png
"Cod: 3957";"LLAVERO CORAZON ""TE AMO"" 13091";28;"ACC MODA-LLAVEROS";7;ACCESORIOS;1;"Sin Especificar";;;0;16-09-2016;05-12-2017;62;93.00;50;50;0;10;;10;https://factupyme.com.ar/inventario/https://factupyme.com.ar/inventario/img/productos/product.png
"Cod: 1285";"LLAVERO CORAZON 1201-1403";28;"ACC MODA-LLAVEROS";7;ACCESORIOS;1;"Sin Especificar";0;;0;12-10-2012;28-01-2025;127;248.00;95;95;0;10;0000-00-00;10;https://factupyme.com.ar/inventario/https://factupyme.com.ar/inventario/img/productos/product.png
"Cod: 4310";"LLAVERO CORAZONES Y PIEDRAS 14542";28;"ACC MODA-LLAVEROS";7;ACCESORIOS;1;"Sin Especificar";0;;0;30-01-2017;08-09-2025;84;158.00;88;66;0;10;0000-00-00;10;https://factupyme.com.ar/inventario/https://factupyme.com.ar/inventario/img/productos/product.png
